id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3yhJqQuMIWT11pWILPdr8s,Inhale,45.0,171173,True,7,track,2021-02-26,ANNIVERSARYDeluxe,15,2EMAnMvWE2eb56ToJVfCWs,BrysonTiller,0.323,0.491,0.702,0.000104,9.0,0.439,-8.164,,0.393,156.425,4,0.593
01vDYm34I3kVygzQ29T1no,InToYoufeatg1ngerProdWOOGIE,51.0,218092,,4,track,2021-08-26,SOMOFUME,6,3IjHX8KZKoeq3X4QgXxqbT,JAYB,0.467,0.366,0.497,,9.0,0.0944,-5.929,1.0,0.0889,79.998,4,0.318
1UUJwdNBSVQAQMZYHfkIa5,AnotherDream,61.0,202866,,2,track,2021-10-22,GirlsPlanet999CompletionMission,2,1dTvYIUWdOcBXYyUWhi91W,GirlsPlanet999,0.496,0.405,0.748,,,0.265,-4.75,1.0,0.0436,155.872,4,0.314
7kt9DWBdhxw9pABN5M3NjE,IAmYours,48.0,211640,,1,track,2021-06-21,IAmYours,2,4FuRHFtCeoYaeeVDKyyvbS,OVAN,0.824,0.64,0.783,,7.0,0.193,-4.323,1.0,0.128,92.822,4,0.642
0sZ0QRe8BFNPOJ2k80adu1,LikeItHot,48.0,202786,,3,track,2021-05-26,THEOTHERSIDEOFTHEMOON,6,5fI4xffqGRGQvICSlJreMF,GWSN,0.36,0.767,0.826,,7.0,0.288,-3.631,1.0,0.122,111.051,4,0.841
07o59OvDiUuVpAbGNntwCy,AWalk,52.0,205800,,6,track,2021-09-10,LoveYerin,6,6dhfy4ByARPJdPtMyrUYJK,YerinBaek,0.965,0.676,0.126,,11.0,0.113,-15.322,1.0,0.037,91.998,4,0.425
5W37S0nq1XvGEyTlUkmr3f,GetAway,48.0,200546,,1,track,2021-03-02,SERIESOROUND1HALL,2,1fWUcRSok57yRm8gPKj1Fc,VERIVERY,0.197,0.702,0.784,,1.0,0.157,-3.537,,0.148,144.945,4,0.651
5rGMxvUu4su0Vg3BaV9BGe,BackInTimeTheMoonduringtheDayXKwill,50.0,225120,,1,track,2021-08-31,BackInTimeTheMoonduringtheDayXKwill,2,1XNC9ksvgXeD1xRJruSA5t,KWill,0.477,0.222,0.551,1.03e-05,8.0,0.177,-6.919,,0.0335,103.029,3,0.168
5RYFLurX0Vg85bgnClS6im,WHATSGOINON,51.0,191920,,1,track,2021-09-06,1stSingleAlbumWHATSGOINON,2,2FJYWlqgtoiBtXpOy9GGIF,OMEGAX,0.00369,0.644,0.896,,9.0,0.0597,-1.762,1.0,0.0483,97.964,4,0.511
2vr4CIT7L5syUxNxFXs47f,WAVE,50.0,199946,,3,track,2021-08-17,CIX1stAlbumOKPrologueBeOK,10,1lHfzEkKmmvdVDDDLKkcsd,CIX,0.0429,0.577,0.922,,7.0,0.0998,-2.382,1.0,0.126,96.093,4,0.41
7pWYbXXcXaDenC0yQylDmQ,ZERO,54.0,206920,,1,track,2021-11-02,COUNTDOWNThe1stAlbum,10,3EfnKIG9827OXkcQQT7HEI,SUPERJUNIORDE,0.049,0.674,0.852,,2.0,0.33,-3.137,1.0,0.0566,117.07,4,0.77
4btftV9aaDSaw0sPBr5VsZ,Xtra,49.0,180078,,1,track,2021-07-01,ReviveR,3,4jCGRzuZkwo8CxboiANMEU,AleXa,0.112,0.763,0.759,,7.0,0.548,-5.729,1.0,0.227,104.933,4,0.778
2KQyIoKdYu6WNfBRhPFtry,ThingsChange,45.0,214733,True,4,track,2021-02-26,ANNIVERSARYDeluxe,15,2EMAnMvWE2eb56ToJVfCWs,BrysonTiller,0.248,0.765,0.608,6.92e-05,7.0,0.109,-4.777,1.0,0.368,145.756,1,0.494
3U6avVr8ubNg0B5VB6TPf1,Heaven,49.0,183640,,2,track,2021-06-01,OneofaKind,7,4TnGh5PKbSjpYqpIdlW5nz,MonstaX,0.0417,0.746,0.789,,,0.101,-3.118,,0.1,91.039,4,0.494
4qaVcA4yzqG1dlGNdvyTh4,Microphone,51.0,196840,,4,track,2021-09-06,Eternal,7,34HmvZztvxqAo2mBSAieRe,YoungK,0.522,0.703,0.43,,9.0,0.113,-8.467,,0.0332,92.094,4,0.269
5GWgkmJD4m8h1FwL8dXVox,ImReadyForYou,45.0,174093,True,3,track,2021-02-26,ANNIVERSARYDeluxe,15,2EMAnMvWE2eb56ToJVfCWs,BrysonTiller,0.186,0.731,0.637,8.16e-05,,0.13,-6.437,,0.397,179.125,4,0.885
0UJRzax7oFLoK8Sb9IcPcm,LovesickGirlsJPVer,56.0,192760,,1,track,2021-07-13,LovesickGirlsJPVer,1,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0.0114,0.654,0.718,5.35e-06,6.0,0.12,-4.484,1.0,0.0747,128.017,4,0.353
0h1bCFiGHWBB1Wq61W0wZj,PermissiontoDanceInstrumental,49.0,187585,,3,track,2021-07-23,PermissiontoDance,3,3Nrfpe0tUJi4K4DXYWgMUX,BTS,0.000201,0.75,0.655,0.785,11.0,0.0689,-7.137,,0.0495,125.026,4,0.406
7C3cUybMDDF7PKyFcDWouF,PoisonLove,49.0,237413,,4,track,2021-01-26,DystopiaRoadtoUtopia,7,5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,0.293,0.735,0.865,0.00137,9.0,0.115,-4.542,,0.0487,124.92,4,0.508
0LE7qfUeJLORKEVurAvy6u,FallinYou,54.0,226764,,1,track,2021-01-21,TrueBeautyOriginalTelevisionSoundtrackPart6,2,3OBkZ9NG8F0Fn4oNpg0yuU,HASUNGWOON,0.527,0.416,0.364,,3.0,0.189,-8.251,1.0,0.0313,134.677,4,0.204
5A3BZXpLvw399NrvWatRMJ,Changer,50.0,203106,,2,track,2021-09-02,ChangerDearEris,9,25KT93FeotUTHC1dbLasxi,ACE,0.253,0.627,0.884,,,0.196,-2.614,1.0,0.0666,123.903,4,0.626
